Province,Employee Count,Categories,Year
Alberta,2031650,Industrial aggregate including unclassified businesses,2019
Alberta,1823864,Industrial aggregate including unclassified businesses,2020
Alberta,1908571,Industrial aggregate including unclassified businesses,2021
Alberta,2038044,Industrial aggregate including unclassified businesses,2022
Alberta,2114445,Industrial aggregate including unclassified businesses,2023
Alberta,2155403,Industrial aggregate including unclassified businesses,2024
British Columbia,2338341,Industrial aggregate including unclassified businesses,2019
British Columbia,2152353,Industrial aggregate including unclassified businesses,2020
British Columbia,2299174,Industrial aggregate including unclassified businesses,2021
British Columbia,2465375,Industrial aggregate including unclassified businesses,2022
British Columbia,2543321,Industrial aggregate including unclassified businesses,2023
British Columbia,2560442,Industrial aggregate including unclassified businesses,2024
Manitoba,"621,718",Industrial aggregate including unclassified businesses,2019
Manitoba,"575,888",Industrial aggregate including unclassified businesses,2020
Manitoba,"599,986",Industrial aggregate including unclassified businesses,2021
Manitoba,"624,734",Industrial aggregate including unclassified businesses,2022
Manitoba,"640,197",Industrial aggregate including unclassified businesses,2023
Manitoba,"643,057",Industrial aggregate including unclassified businesses,2024
New Brunswick,325246,Industrial aggregate including unclassified businesses,2019
New Brunswick,"310,308",Industrial aggregate including unclassified businesses,2020
New Brunswick,"330,838",Industrial aggregate including unclassified businesses,2021
New Brunswick,"343,454",Industrial aggregate including unclassified businesses,2022
New Brunswick,"352,698",Industrial aggregate including unclassified businesses,2023
New Brunswick,"357,512",Industrial aggregate including unclassified businesses,2024
Newfoundland and Labrador,"216,662",Industrial aggregate including unclassified businesses,2019
Newfoundland and Labrador,"199,061",Industrial aggregate including unclassified businesses,2020
Newfoundland and Labrador,"209,894",Industrial aggregate including unclassified businesses,2021
Newfoundland and Labrador,"217,517",Industrial aggregate including unclassified businesses,2022
Newfoundland and Labrador,"220,383",Industrial aggregate including unclassified businesses,2023
Newfoundland and Labrador,"218,918",Industrial aggregate including unclassified businesses,2024
Northwest Territories,"26,787",Industrial aggregate including unclassified businesses,2019
Northwest Territories,"24,521",Industrial aggregate including unclassified businesses,2020
Northwest Territories,"26,456",Industrial aggregate including unclassified businesses,2021
Northwest Territories,"27,260",Industrial aggregate including unclassified businesses,2022
Northwest Territories,"27,643",Industrial aggregate including unclassified businesses,2023
Northwest Territories,"27,870",Industrial aggregate including unclassified businesses,2024
Nova Scotia,"422,965",Industrial aggregate including unclassified businesses,2019
Nova Scotia,"395,335",Industrial aggregate including unclassified businesses,2020
Nova Scotia,"417,914",Industrial aggregate including unclassified businesses,2021
Nova Scotia,"437,365",Industrial aggregate including unclassified businesses,2022
Nova Scotia,"449,485",Industrial aggregate including unclassified businesses,2023
Nova Scotia,"458,341",Industrial aggregate including unclassified businesses,2024
Nunavut,"17,759",Industrial aggregate including unclassified businesses,2019
Nunavut,"18,085",Industrial aggregate including unclassified businesses,2020
Nunavut,"19,250",Industrial aggregate including unclassified businesses,2021
Nunavut,"20,156",Industrial aggregate including unclassified businesses,2022
Nunavut,"20,698",Industrial aggregate including unclassified businesses,2023
Nunavut,"21,532",Industrial aggregate including unclassified businesses,2024
Ontario,6611404,Industrial aggregate including unclassified businesses,2019
Ontario,6031769,Industrial aggregate including unclassified businesses,2020
Ontario,6339002,Industrial aggregate including unclassified businesses,2021
Ontario,6789270,Industrial aggregate including unclassified businesses,2022
Ontario,6981698,Industrial aggregate including unclassified businesses,2023
Ontario,7057582,Industrial aggregate including unclassified businesses,2024
