Geography 3,Canada,Canada,Canada,Canada,Canada,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Newfoundland and Labrador,Prince Edward Island,Prince Edward Island,Prince Edward Island,Prince Edward Island,Prince Edward Island,Nova Scotia,Nova Scotia,Nova Scotia,Nova Scotia,Nova Scotia,New Brunswick,New Brunswick,New Brunswick,New Brunswick,New Brunswick,Quebec,Quebec,Quebec,Quebec,Quebec,Ontario,Ontario,Ontario,Ontario,Ontario,Manitoba,Manitoba,Manitoba,Manitoba,Manitoba,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Saskatchewan,Alberta,Alberta,Alberta,Alberta,Alberta,British Columbia,British Columbia,British Columbia,British Columbia,British Columbia
North American Industry Classification System (NAICS) 5,2021,2022,2023,2024,2025,2021,2022,2023,2024,2025,2021,2022,2023,2024,2025,2021,2022,2023,2024,2025,2021,2022,2023,2024,2025,2021,2022,2023,2024,2025,2021,2022,2023,2024,2025,2021,2022,2023,2024,2025,2021,2022,2023,2024,2025,2021,2022,2023,2024,2025,2021,2022,2023,2024,2025
Category,Canada 2021,Canada 2022,Canada 2023,Canada 2024,Canada 2025,Newfoundland and Labrador 2021,Newfoundland and Labrador 2022,Newfoundland and Labrador 2023,Newfoundland and Labrador 2024,Newfoundland and Labrador 2025,Prince Edward Island 2021,Prince Edward Island 2022,Prince Edward Island 2023,Prince Edward Island 2024,Prince Edward Island 2025,Nova Scotia 2021,Nova Scotia 2022,Nova Scotia 2023,Nova Scotia 2024,Nova Scotia 2025,New Brunswick 2021,New Brunswick 2022,New Brunswick 2023,New Brunswick 2024,New Brunswick 2025,Quebec 2021,Quebec 2022,Quebec 2023,Quebec 2024,Quebec 2025,Ontario 2021,Ontario 2022,Ontario 2023,Ontario 2024,Ontario 2025,Manitoba 2021,Manitoba 2022,Manitoba 2023,Manitoba 2024,Manitoba 2025,Saskatchewan 2021,Saskatchewan 2022,Saskatchewan 2023,Saskatchewan 2024,Saskatchewan 2025,Alberta 2021,Alberta 2022,Alberta 2023,Alberta 2024,Alberta 2025,British Columbia 2021,British Columbia 2022,British Columbia 2023,British Columbia 2024,British Columbia 2025
"Total employees, all industries 8",30.69,31.97,33.56,35.2,36.4,28.45,29.4,31.01,32.48,33.42,25.3,26.84,27.94,29.56,30.11,26.06,27.41,28.87,30.79,32.39,25.53,27.36,28.72,30.31,31.27,29.26,30.95,32.39,33.84,35.05,31.66,32.97,34.63,36.44,37.72,27.2,28.09,29.38,30.39,31.63,29.68,30.51,31.56,32.58,33.39,33.21,33.64,34.97,36.38,37.35,31.3,32.63,34.76,36.65,37.95
Goods-producing sector 9,31.91,33.44,35.5,37,38.12,33.11,34.56,37.71,38.08,38.98,22.94,24.47,26.06,27.42,27.41,26.39,27.92,29.87,32,31.83,26.75,27.96,29.49,31.74,31.66,30.11,32.32,34.53,35.35,37.13,31.18,32.67,35.05,36.64,37.51,27.71,28.26,30.12,31,32.02,33.7,34.65,35.96,37.15,38.15,38.78,39.36,40.58,42.54,43.61,33.09,35.16,36.88,38.68,40
Agriculture 10,20.82,21.76,23.71,25.04,25.79,21.49,20.8,25.31,27.45,26.75,19.49,21.71,21.4,21.76,22.28,17.54,19.06,24.13,21.89,21.25,18.17,20.52,22.52,25.31,23.92,19.16,20.79,21.11,23.35,24.66,21.06,21.62,25.71,24.54,25.21,21.71,20.66,22.47,24.21,25.94,23.56,23.62,27.04,28.49,28.01,22.03,22.61,24.03,25.91,27.53,22.12,23.63,22.54,28.2,28.4
"Forestry, fishing, mining, quarrying, oil and gas 11 12",44.15,44.3,47.32,50.09,51.34,41.25,42.7,46.42,48.34,49.19,22.94,26.28,28.26,26.66,27.99,27.91,31.47,31.78,30.9,28.93,29.51,26.93,34.68,38.63,35.48,36.08,41.07,42.4,43.15,43.11,42.07,40.5,44.62,46.4,46.65,38.64,40.65,37.42,39.03,43.91,44.16,44.74,47.94,48.2,51.71,49.36,49.34,52.48,55.54,58.84,44.03,42.54,45.32,50.01,48.75
Utilities,47.05,47.8,49.27,52.85,55.9,44.29,43.19,46.46,48.78,51.75,42.95,41.56,44.07,45.47,40.5,38.66,40.46,39.52,42.56,45.87,43.64,42.51,45.17,44.99,45.91,46.72,48.4,52.07,52.75,55.42,48.02,49.15,50.72,57.13,59.95,40.48,41.41,44.19,40.24,43.4,43.29,43.13,45.29,49.67,49.3,52.12,51.65,50.94,52.77,57.24,46.12,44.84,43.94,49.63,52.72
Construction,32.06,33.76,35.48,36.66,37.86,29.61,30.7,32.84,33.11,33.61,23.87,24.27,26.09,27.76,28.41,26.23,27.47,29.06,30.58,31.08,25.75,27.93,27.48,28.7,31.23,31.94,34.28,35.9,36.46,38.08,32.66,33.92,35.87,37.49,38.43,29.14,29.44,30.39,32.86,33.46,30.71,32.26,32.68,34.36,32.99,33.6,35.9,37.1,38.39,38.59,32.42,34.34,36.78,37.58,40.15
Manufacturing,29.26,31.04,33.13,34.32,35.21,26.51,28.59,31.38,29.28,30.5,22.52,24.61,26.96,28.27,27.44,25.48,26.69,29.89,32.97,32.12,25.86,27.39,28.61,31.69,30.26,28.49,30.31,32.87,33.79,35.62,29.23,30.87,33.24,34.74,35.17,25.99,26.64,28.8,29.07,29.63,30.85,32.77,32.47,32.87,35.11,34.47,34.88,35.48,35.84,36.44,30.6,34.33,35.17,36.24,37.57
Services-producing sector 13,30.37,31.6,33.07,34.74,35.97,27.29,28.13,29.28,31.07,32.14,25.95,27.58,28.49,30.19,30.93,25.98,27.29,28.66,30.54,32.51,25.24,27.21,28.54,29.95,31.17,29.03,30.58,31.81,33.43,34.5,31.77,33.04,34.52,36.39,37.76,27.06,28.05,29.18,30.23,31.53,28.67,29.5,30.49,31.51,32.24,31.52,31.96,33.25,34.42,35.44,30.9,32.07,34.32,36.22,37.5
Wholesale and retail trade,23.5,24.72,25.96,27.1,27.59,20.03,19.94,21.16,22.29,23.99,18.46,19.3,21.01,21.75,22.85,19.45,20.06,22.03,23.09,24.52,19.56,19.68,22.06,23.5,23.67,22.2,23.89,24.89,26.12,26.19,24.27,25.4,26.74,28.07,28.46,21.55,22.68,23.95,24.89,25.64,23.11,23.65,24.7,26.32,26.12,25.2,25.9,26.69,27.27,29.02,24.52,25.95,27.55,28.51,28.61
Transportation and warehousing,29.94,30.37,32.09,33.42,34.22,30.44,27.89,29.12,34.35,34.79,24.03,26.57,25.21,26.73,28.07,25.78,27.76,28.03,30.8,31.69,23.79,26.02,27.38,28.47,30.46,28.53,29.41,29.99,31.47,31.45,29.2,29.9,31.63,33.24,33.43,28.17,29.34,29.11,30.21,32.78,30.38,30.99,30.61,32.18,32.01,33.34,32.06,34.79,36.02,37.83,32.94,33.03,36.48,36.75,38.39
"Finance, insurance, real estate, rental and leasing",37.38,38.79,40.9,42.8,44.24,28.94,32.68,33.84,34.78,35.53,26.2,30.76,31.32,33.04,30.98,28.45,30.26,32.88,33.05,37.17,28.89,29.86,33.03,31.96,33.33,35.96,37.1,39.29,42.32,43.56,39.82,41.03,43.25,44.99,46.39,32.51,33.37,34.04,35.31,37.05,35.22,35.36,36.28,38.84,38.07,36.27,38.69,39.19,43.22,43.23,35.92,37.53,40.75,40.62,43.63
"Professional, scientific and technical services",38.46,41.62,44.24,47.5,48.6,33.99,38.67,39.9,42.1,44.11,29.8,31.75,32.29,34.94,37.23,33.59,36.94,38.93,43.47,43.01,30.47,37.21,37.58,39.02,39.07,34.88,38.33,40.21,43.04,44.76,39.98,43.52,46.41,49.67,51.41,32.79,34.41,36.79,37.24,38.75,33.01,37.07,39.13,39.56,42.29,40.65,41.88,44.43,47.65,47.53,40.55,43.37,46.57,50.92,49.73
"Business, building and other support services 14",23.54,24.87,25.95,26.93,28.65,22.72,24,26.37,26.04,25.46,16.66,19.64,19.67,23.21,23.21,18.78,20.64,21.63,22.9,24.48,20.33,21.29,21.68,21.92,25.87,22.91,25.17,25.48,27.7,28.52,23.9,25.27,26.56,26.19,29.13,19.46,21.1,21.15,23.8,24,22.46,22.12,24.17,24.98,23.16,25.11,25.44,27,28.46,29.12,25.31,25.76,27.24,29.04,30.68
Educational services,36.71,37.51,38.72,40.2,42.3,38.58,39.96,41.1,42.84,41.49,34.85,33.3,33.82,37.44,36.22,32,32.75,33.3,34.73,37.55,31.52,34.52,33.43,35.68,35.16,36.06,37.16,39.05,40.93,43.7,38.73,39.43,39.89,41.24,43.38,33.59,33.95,34.82,36.09,37.06,35.37,36.27,36.78,37.74,38.22,37.07,37.09,38.33,38.46,40.27,34.67,35.69,38.77,40.97,43.32
Health care and social assistance,29.56,30.7,31.97,33.44,34.81,28.03,28.57,29.3,29.83,32.36,27.31,30.14,29.84,31.82,33.86,26.82,28.3,29.06,31.63,34.39,26.39,27.99,28.77,30.11,32.57,27.5,29.45,30.28,31.53,32.16,30.03,31.28,32.49,34.41,35.93,27.52,28.16,29.49,29.99,31.89,29.71,31.03,31.75,31.51,32.42,32.36,32.48,33.87,34.56,35.5,31.35,31.72,34.22,36.25,38.24
"Information, culture and recreation",31.23,31.26,31.27,32.29,34.2,24.23,25.71,26.72,27.6,27.96,23.15,23.38,23.59,23.85,24.04,25.18,25.96,28.02,27.15,30.89,25.61,24.39,26.67,26.64,29.8,30.15,30.7,31.1,32.19,33.46,32.28,32.53,32.16,33.4,36.46,25.95,24.7,27.23,26.59,27.68,26.98,25.4,27.84,27.91,30.33,29.71,30.47,27.61,26.99,29.18,33.92,33.13,34.29,36.47,36.39
Accommodation and food services,17.36,18.5,19.71,20.58,20.98,15.49,16.48,17,18.44,19.24,15.59,16.89,17.97,19.06,18.88,15.49,16.31,17.83,18.76,19.48,14.54,15.71,17.28,17.85,18.65,17.02,18.11,20.25,21.03,20.96,17.34,18.86,19.46,20.49,21.15,14.95,15.53,17.4,18.53,18.87,15.24,15.85,16.34,17.39,18.09,18.06,18.36,19.1,20.26,19.61,18.88,20.19,21.8,22.29,23.45
Other services (except public administration),26.87,27.45,28.83,30.37,31.56,23.64,23.31,25.92,27.14,28.36,21.98,24.76,24.81,26.76,24.99,24.04,24.48,24.53,27.6,28.32,22.09,22.41,25.67,27.12,27.79,24.86,26.62,28.5,29.7,31.43,28.1,27.92,29.26,31.17,32.1,25.19,25.52,25.83,27.03,28.85,25.5,25.8,26.79,28.95,28.9,28.56,28.22,29.91,29.92,31.74,27.38,29.42,30.25,32.25,33.15
Public administration,39.88,40.78,42.57,44.56,46.39,34.43,36.47,38.04,40.68,41.2,34.38,35.58,37.7,39.93,40.67,37.24,37.91,39.72,41.92,43.91,33.61,36.91,37.69,40.15,41.31,38.34,39.35,41.17,42.4,43.78,42.22,42.22,44.6,46.65,48.81,35.32,37.32,37.93,39.77,41.92,37.6,38.62,39.72,41,43.76,41.85,43.29,44.82,46.1,46.96,39.33,41.22,42.12,45.77,48.42
