,Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North American Industry Classification System (NAICS) 4,Statistics,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
"Total, all industries 4",,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"487,375","478,310","540,840","594,825","587,490","558,715","544,120","560,090","587,795","568,835","510,525","434,340","518,485","505,665","522,630",..,..,..,..,..,..,"619,265","556,570","479,335","495,540","537,390","632,075","693,955","706,345","797,800","830,450","919,835","988,655","964,130","894,550","878,040","853,450","833,725","977,565","1,034,280","1,037,195","1,020,615","999,995","974,450","987,760","933,845","854,165","752,325","788,280","747,720","790,370","839,950","812,510","779,410","742,230","741,875","693,950","711,930","656,565","534,525","600,555","588,470","595,090","642,810","616,605","585,620","563,955","567,725","565,870","557,710","525,185","440,185"
,Payroll employees 6 7,"16,287,130","15,830,435","15,877,265","15,930,735","16,019,520","16,333,730","16,598,660","16,396,480","16,214,090","16,537,120","16,566,190","16,526,020","16,548,330","16,073,950","16,045,335",..,..,..,..,..,..,"15,298,240","15,496,080","15,397,405","15,465,290","14,820,290","14,887,490","15,166,650","15,404,180","15,388,890","15,863,305","15,932,550","15,794,110","16,229,995","16,352,815","16,346,360","16,490,985","15,950,840","16,073,245","16,242,675","16,479,550","16,679,225","17,064,035","16,846,600","16,600,410","17,065,430","17,075,715","17,066,350","17,159,045","16,686,395","16,750,155","16,799,640","16,938,185","17,200,810","17,531,155","17,239,080","16,990,690","17,426,905","17,406,475","17,267,140","17,346,155","16,890,245","16,913,170","16,997,345","17,126,470","17,413,095","17,627,000","17,371,135","17,162,570","17,522,830","17,527,670","17,443,220"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,2.9,2.9,3.3,3.6,3.5,3.3,3.2,3.3,3.5,3.3,3,2.6,3,3,3.2,..,..,..,..,..,..,3.9,3.5,3,3.1,3.5,4.1,4.4,4.4,4.9,5,5.5,5.9,5.6,5.2,5.1,4.9,5,5.7,6,5.9,5.8,5.5,5.5,5.6,5.2,4.8,4.2,4.4,4.3,4.5,4.8,4.6,4.3,4.1,4.1,3.9,3.9,3.6,3,3.3,3.4,3.4,3.6,3.5,3.3,3.1,3.2,3.2,3.1,2.9,2.5
"Agriculture, forestry, fishing and hunting  [11]",,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"15,450","11,605","17,705","19,760","14,150","12,965","17,240","12,035","16,420","15,485","8,330","11,700","14,840","7,495","14,035",..,..,..,..,..,..,"17,975","7,655","8,705","12,140","8,770","14,080","15,185","15,805","16,440","14,880","15,230","17,605","15,860","12,815","11,105","15,095","10,350","16,300","17,760","18,925","17,305","17,765","17,285","14,120","9,960","11,265","10,170","12,370","9,790","11,730","16,110","10,120","12,145","13,090","9,390","10,430","10,440","8,160","7,015","7,770","6,910","9,380","10,795","10,165","10,500","11,805","8,130","8,695","10,345","6,220","6,035"
,Payroll employees 6 7,"216,205","184,140","185,215","193,045","208,805","239,615","261,145","267,560","267,785","264,860","250,755","225,740","221,630","192,165","190,905",..,..,..,..,..,..,"264,315","251,690","225,510","220,465","194,690","196,340","202,130","225,105","249,890","270,235","283,845","274,380","269,610","255,670","230,000","226,260","200,275","198,925","207,510","232,035","253,380","270,005","279,555","272,340","272,330","264,265","234,125","227,330","199,845","198,585","203,285","221,255","249,395","268,080","271,950","272,920","270,940","258,125","235,560","224,630","197,805","201,805","206,435","222,615","254,555","271,455","274,695","274,230","274,530","259,530","233,440"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,6.7,5.9,8.7,9.3,6.3,5.1,6.2,4.3,5.8,5.5,3.2,4.9,6.3,3.8,6.8,..,..,..,..,..,..,6.4,3,3.7,5.2,4.3,6.7,7,6.6,6.2,5.2,5.1,6,5.6,4.8,4.6,6.3,4.9,7.6,7.9,7.5,6.4,6.2,5.8,4.9,3.5,4.1,4.2,5.2,4.7,5.6,7.3,4.4,4.6,4.7,3.3,3.7,3.7,3.1,2.9,3.3,3.4,4.4,5,4.4,4,4.2,2.9,3.1,3.6,2.3,2.5
"Mining, quarrying, and oil and gas extraction  [21]",,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"3,405","3,000","3,960","4,355","3,875","5,305","3,640","4,240","4,745","4,570","3,330","2,815","5,020","4,915","2,915",..,..,..,..,..,..,"4,310","4,445","2,895","5,720","5,875","3,545","8,220","7,665","5,920","7,430","9,875","6,865","8,910","9,130","6,520","9,185","11,855","8,055","9,490","10,455","7,590","8,990","9,155","8,170","7,405",F,"7,450","8,260","8,130","6,865","8,940","9,510","8,885","8,430","7,870","7,685","7,075","6,495","5,490","5,555","6,150","3,915","5,275","7,770","5,630","5,235","6,070","4,870","5,990","5,295","3,955"
,Payroll employees 6 7,"201,810","194,830","198,760","195,545","195,795","196,500","198,085","203,505","204,130","204,385","201,425","202,780","199,240","193,825","199,105",..,..,..,..,..,..,"187,045","182,485","191,595","186,880","177,935","182,180","186,040","184,045","183,125","191,255","186,325","188,745","193,345","191,140","193,870","199,265","191,115","196,040","198,470","195,160","199,955","212,580","205,575","206,405","212,525","203,680","206,135","211,990","200,660","210,290","211,930","205,510","214,945","216,315","210,525","215,915","217,230","207,055","215,400","211,565","200,875","208,290","208,605","201,615","213,160","216,240","210,690","222,420","218,245","212,075","225,915"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,1.7,1.5,2,2.2,1.9,2.6,1.8,2,2.3,2.2,1.6,1.4,2.5,2.5,1.4,..,..,..,..,..,..,2.3,2.4,1.5,3,3.2,1.9,4.2,4,3.1,3.7,5,3.5,4.4,4.6,3.3,4.4,5.8,3.9,4.6,5.1,3.7,4.1,4.3,3.8,3.4,F,3.5,3.7,3.9,3.2,4,4.4,4,3.7,3.6,3.4,3.2,3,2.5,2.6,3,1.8,2.5,3.7,2.6,2.4,2.8,2.1,2.7,2.4,1.7
Utilities  [22],,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancies 5,"1,825","2,245","2,025","2,605","2,220","1,270","1,620","1,575","1,235","1,565","2,355","1,140","1,125","3,065",F,..,..,..,..,..,..,F,"1,535",915,"1,135","1,380","1,515","3,280","2,205",F,"1,525","2,410","1,160","1,810","2,430","2,135",F,"2,715","2,770","2,005","2,895",F,"2,640","3,260","3,050","1,990","2,980",F,"2,660","2,465","2,735","2,565","3,415","3,470","3,065","2,595","1,850","2,345","2,385","3,305","3,200","2,915","2,485","2,420","2,115",F,"1,840","2,385","2,510","2,015","1,425","2,150"
,Payroll employees 6 7,"126,115","123,985","126,810","126,720","126,045","127,540","129,395","130,405","128,850","127,350","128,650","127,185","128,480","127,790","125,635",..,..,..,..,..,..,"122,580","122,550","121,760","123,435","121,290","121,225","120,590","122,115","124,255","125,245","126,430","126,640","125,945","126,455","127,530","129,155","127,175","126,680","126,135","127,240","129,745","130,385","130,635","132,450","131,050","130,575","130,850","130,750","128,415","130,730","130,705","129,875","133,175","135,740","135,490","135,885","136,440","134,880","134,615","134,475","132,415","133,050","134,485","133,970","135,415","137,730","135,535","135,495","134,145","133,815","136,105"
,,Percent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Job vacancy rate 8,1.4,1.8,1.6,2,1.7,1,1.2,1.2,0.9,1.2,1.8,0.9,0.9,2.3,F,..,..,..,..,..,..,F,1.2,0.7,0.9,1.1,1.2,2.6,1.8,F,1.2,1.9,0.9,1.4,1.9,1.6,F,2.1,2.1,1.6,2.2,F,2,2.4,2.3,1.5,2.2,F,2,1.9,2.1,1.9,2.6,2.5,2.2,1.9,1.3,1.7,1.7,2.4,2.3,2.2,1.8,1.8,1.6,F,1.3,1.7,1.8,1.5,1.1,1.6
Construction  [23],,Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
