Province,Year,Investment Value,Category
Alberta,2022,"70,108.00",All Industries
Alberta,2023,"72,127.20",All Industries
Alberta,2024,75417.600000000006,All Industries
Alberta,2025,"76,057.00",All Industries
Alberta,2026,80566.5,All Industries
British Columbia,2022,53194,All Industries
British Columbia,2023,"61,157.60",All Industries
British Columbia,2024,58994.5,All Industries
British Columbia,2025,64505.599999999999,All Industries
British Columbia,2026,64923.199999999997,All Industries
Manitoba,2022,7964.3999999999996,All Industries
Manitoba,2023,"9,100.50",All Industries
Manitoba,2024,"9,975.70",All Industries
Manitoba,2025,10749.799999999999,All Industries
Manitoba,2026,10476.799999999999,All Industries
New Brunswick,2022,"4,918.90",All Industries
New Brunswick,2023,"5,353.30",All Industries
New Brunswick,2024,"5,635.70",All Industries
New Brunswick,2025,6171,All Industries
New Brunswick,2026,6350.1000000000004,All Industries
Newfoundland and Labrador,2022,"4,833.50",All Industries
Newfoundland and Labrador,2023,"6,113.00",All Industries
Newfoundland and Labrador,2024,"7,142.20",All Industries
Newfoundland and Labrador,2025,"5,887.00",All Industries
Newfoundland and Labrador,2026,"5,092.80",All Industries
Northwest Territories,2022,758.6,All Industries
Northwest Territories,2023,869.4,All Industries
Northwest Territories,2024,"1,109.70",All Industries
Northwest Territories,2025,946.7,All Industries
Northwest Territories,2026,"1,082.60",All Industries
Nova Scotia,2022,"5,179.90",All Industries
Nova Scotia,2023,"5,930.30",All Industries
Nova Scotia,2024,"6,713.60",All Industries
Nova Scotia,2025,"7,583.40",All Industries
Nova Scotia,2026,7596.5,All Industries
Nunavut,2022,"1,078.10",All Industries
Nunavut,2023,"1,591.10",All Industries
Nunavut,2024,"1,854.50",All Industries
Nunavut,2025,"2,396.20",All Industries
Nunavut,2026,"1,908.40",All Industries
Ontario,2022,94554.5,All Industries
Ontario,2023,110612.5,All Industries
Ontario,2024,115264,All Industries
Ontario,2025,123728.10000000001,All Industries
Ontario,2026,132448.10000000001,All Industries
Prince Edward Island,2022,988.7,All Industries
Prince Edward Island,2023,"1,167.40",All Industries
Prince Edward Island,2024,"1,267.30",All Industries
Prince Edward Island,2025,"1,464.30",All Industries
Prince Edward Island,2026,"1,510.90",All Industries
Quebec,2022,"55,112.80",All Industries
Quebec,2023,60362.400000000001,All Industries
Quebec,2024,67848.600000000006,All Industries
Quebec,2025,66732.5,All Industries
Quebec,2026,68797.699999999997,All Industries
Saskatchewan,2022,"13,591.30",All Industries
Saskatchewan,2023,"17,033.50",All Industries
Saskatchewan,2024,"17,313.30",All Industries
Saskatchewan,2025,19697.700000000001,All Industries
Saskatchewan,2026,19481.900000000001,All Industries
Yukon,2022,803.6,All Industries
Yukon,2023,919.2,All Industries
Yukon,2024,830.5,All Industries
Yukon,2025,852.3,All Industries
Yukon,2026,967.5,All Industries
