Province,Year,Wage,Category
Alberta,2021,33.21,"Total employees, all industries"
Alberta,2022,33.64,"Total employees, all industries"
Alberta,2023,34.97,"Total employees, all industries"
Alberta,2024,36.38,"Total employees, all industries"
Alberta,2025,37.35,"Total employees, all industries"
British Columbia,2021,31.3,"Total employees, all industries"
British Columbia,2022,32.63,"Total employees, all industries"
British Columbia,2023,34.76,"Total employees, all industries"
British Columbia,2024,36.65,"Total employees, all industries"
British Columbia,2025,37.95,"Total employees, all industries"
Manitoba,2021,27.2,"Total employees, all industries"
Manitoba,2022,28.09,"Total employees, all industries"
Manitoba,2023,29.38,"Total employees, all industries"
Manitoba,2024,30.39,"Total employees, all industries"
Manitoba,2025,31.63,"Total employees, all industries"
New Brunswick,2021,25.53,"Total employees, all industries"
New Brunswick,2022,27.36,"Total employees, all industries"
New Brunswick,2023,28.72,"Total employees, all industries"
New Brunswick,2024,30.31,"Total employees, all industries"
New Brunswick,2025,31.27,"Total employees, all industries"
Newfoundland and Labrador,2021,28.45,"Total employees, all industries"
Newfoundland and Labrador,2022,29.4,"Total employees, all industries"
Newfoundland and Labrador,2023,31.01,"Total employees, all industries"
Newfoundland and Labrador,2024,32.48,"Total employees, all industries"
Newfoundland and Labrador,2025,33.42,"Total employees, all industries"
Nova Scotia,2021,26.06,"Total employees, all industries"
Nova Scotia,2022,27.41,"Total employees, all industries"
Nova Scotia,2023,28.87,"Total employees, all industries"
Nova Scotia,2024,30.79,"Total employees, all industries"
Nova Scotia,2025,32.39,"Total employees, all industries"
Ontario,2021,31.66,"Total employees, all industries"
Ontario,2022,32.97,"Total employees, all industries"
Ontario,2023,34.63,"Total employees, all industries"
Ontario,2024,36.44,"Total employees, all industries"
Ontario,2025,37.72,"Total employees, all industries"
Prince Edward Island,2021,25.3,"Total employees, all industries"
Prince Edward Island,2022,26.84,"Total employees, all industries"
Prince Edward Island,2023,27.94,"Total employees, all industries"
Prince Edward Island,2024,29.56,"Total employees, all industries"
Prince Edward Island,2025,30.11,"Total employees, all industries"
Quebec,2021,29.26,"Total employees, all industries"
Quebec,2022,30.95,"Total employees, all industries"
Quebec,2023,32.39,"Total employees, all industries"
Quebec,2024,33.84,"Total employees, all industries"
Quebec,2025,35.05,"Total employees, all industries"
Saskatchewan,2021,29.68,"Total employees, all industries"
Saskatchewan,2022,30.51,"Total employees, all industries"
Saskatchewan,2023,31.56,"Total employees, all industries"
Saskatchewan,2024,32.58,"Total employees, all industries"
Saskatchewan,2025,33.39,"Total employees, all industries"
Alberta,2021,38.78,Goods-producing sector
Alberta,2022,39.36,Goods-producing sector
Alberta,2023,40.58,Goods-producing sector
Alberta,2024,42.54,Goods-producing sector
Alberta,2025,43.61,Goods-producing sector
British Columbia,2021,33.09,Goods-producing sector
British Columbia,2022,35.16,Goods-producing sector
British Columbia,2023,36.88,Goods-producing sector
British Columbia,2024,38.68,Goods-producing sector
British Columbia,2025,40.0,Goods-producing sector
Manitoba,2021,27.71,Goods-producing sector
Manitoba,2022,28.26,Goods-producing sector
Manitoba,2023,30.12,Goods-producing sector
